precio,baños,habitabiones,metros_construidos,estrato
700000000,2.0,3.0,166.0,5.0
700000000,2.0,3.0,166.0,5.0
360000000,4.0,3.0,,
235000000,2.0,3.0,73.0,3.0
640000000,5.0,5.0,210.0,4.0
1900000000,3.0,3.0,200.0,6.0
270000000,2.0,3.0,97.0,3.0
2400000000,6.0,4.0,320.0,5.0
640000000,4.0,5.0,160.0,4.0
850000000,3.0,6.0,432.0,4.0
420000000,2.0,3.0,150.0,4.0
430000000,3.0,3.0,92.0,3.0
2400000000,8.0,5.0,400.0,6.0
600000000,3.0,4.0,116.0,5.0
150000000,,3.0,56.0,3.0
660000000,4.0,3.0,200.0,
280000000,3.0,4.0,205.0,4.0
320000000,2.0,5.0,180.0,
4850000000,4.0,4.0,584.0,4.0
300000000,,,236.0,3.0
700000000,,3.0,,
1100000000,3.0,3.0,240.0,6.0
6374484592,6.0,5.0,280.0,
395000000,3.0,4.0,200.0,
1190000000,3.0,3.0,165.0,6.0
1070000000,3.0,3.0,147.0,6.0
1900000000,3.0,3.0,220.0,6.0
14500000000000,6.0,5.0,865.0,6.0
850000000,2.0,4.0,300.0,4.0
3200000000,7.0,5.0,540.0,6.0
14000000000,8.0,6.0,10000.0,4.0
2290000000,7.0,6.0,,
800000000,4.0,4.0,243.0,5.0
450000000,2.0,4.0,203.0,3.0
4000000000,6.0,5.0,650.0,6.0
1800000000,6.0,6.0,630.0,
200000000,2.0,2.0,180.0,3.0
220000000,2.0,3.0,64.0,3.0
550000000,2.0,3.0,,2.0
730000000,4.0,4.0,205.0,5.0
850000000,2.0,3.0,375.0,
3100000000,,4.0,120.0,
260000000,2.0,3.0,97.0,3.0
7000000000,7.0,15.0,1012.0,6.0
300000000,2.0,4.0,153.0,3.0
460000000,3.0,3.0,124.0,4.0
300000000,2.0,3.0,168.0,2.0
135000000,,2.0,,3.0
520000000,3.0,3.0,88.0,5.0
1750000000,9.0,10.0,350.0,3.0
138000000,,3.0,120.0,3.0
350000000,3.0,3.0,130.0,4.0
1680000000,6.0,6.0,404.0,6.0
305000000,4.0,6.0,160.0,3.0
630000000,3.0,4.0,240.0,3.0
170000000,,3.0,100.0,3.0
970000000,3.0,3.0,222.0,5.0
2500000000,7.0,4.0,1600.0,6.0
170000000,,3.0,,3.0
1150000000,,10.0,1980.0,6.0
740000000,4.0,4.0,205.0,5.0
520000000,2.0,3.0,175.0,5.0
980000000,2.0,3.0,164.0,6.0
3900000000,53.0,50.0,1112.0,4.0
220000000,3.0,6.0,144.0,
3500000000,3.0,8.0,330.0,5.0
42000000000,,,6800.0,
1900000000,3.0,3.0,220.0,
360000000,3.0,3.0,131.0,
1200000000,3.0,4.0,220.0,5.0
650000000,4.0,3.0,230.0,4.0
680000000,,2.0,268.0,4.0
1500000000,2.0,3.0,290.0,
600000000,2.0,3.0,220.0,
900000000,3.0,4.0,180.0,
1300000000,2.0,4.0,500.0,3.0
650000000,3.0,3.0,178.0,5.0
1200000000,5.0,5.0,3000.0,3.0
1200000000,,3.0,327.0,5.0
1085000000,2.0,2.0,104.0,6.0
1860000000,2.0,3.0,350.0,5.0
1700000000,3.0,3.0,206.0,5.0
2000000000,6.0,4.0,820.0,
360000000,3.0,3.0,127.0,4.0
4500000000,4.0,4.0,265.0,5.0
550000000,,,,
375000000,2.0,,79.0,
750000000,3.0,5.0,200.0,
260000000,2.0,3.0,141.0,3.0
500000000,2.0,4.0,306.0,
650000000,3.0,3.0,160.0,5.0
780000000,3.0,3.0,214.0,5.0
460000000,3.0,5.0,153.0,4.0
270000000,2.0,4.0,72.0,
729000000,2.0,,74.0,
460000000,2.0,4.0,122.0,
450000000,3.0,3.0,152.0,4.0
350000000,3.0,5.0,180.0,3.0
480000000,4.0,4.0,144.0,5.0
1700000000,3.0,8.0,435.0,5.0
1100000000,9.0,10.0,350.0,4.0
2500000000,4.0,4.0,380.0,6.0
394344000,2.0,3.0,174.0,4.0
610000000,2.0,3.0,147.0,5.0
5200000000,3.0,3.0,280.0,6.0
350000000,,3.0,150.0,3.0
1000000000,4.0,8.0,150.0,3.0
7089574000,4.0,7.0,692.0,4.0
360000000,2.0,3.0,127.0,4.0
520000000,3.0,3.0,130.0,5.0
12400000000,9.0,6.0,840.0,3.0
850000000,4.0,6.0,350.0,5.0
15936211480,6.0,5.0,632.0,4.0
3000000000,5.0,3.0,320.0,6.0
4750000000,,10.0,456.0,5.0
700000000,5.0,5.0,209.0,
275000000,3.0,4.0,140.0,3.0
1900000000,,8.0,390.0,5.0
136000000,,2.0,84.0,
770000000,3.0,3.0,259.0,5.0
14071000000,6.0,6.0,600.0,6.0
500000000,2.0,3.0,90.0,6.0
2300000000,3.0,5.0,2000.0,
430000000,3.0,3.0,168.0,3.0
520000000,6.0,13.0,,3.0
3750000000,8.0,8.0,347.0,5.0
160000000,,3.0,72.0,3.0
320000000,2.0,3.0,,
1500000000,2.0,3.0,200.0,5.0
670000000,3.0,4.0,220.0,5.0
3600000000,2.0,10.0,450.0,5.0
500000000,3.0,5.0,,3.0
1800000000,3.0,4.0,164.0,6.0
160000000,,3.0,98.0,3.0
650000000,3.0,2.0,10000.0,
350000000,2.0,4.0,157.0,3.0
850000000,5.0,5.0,264.0,3.0
270000000,2.0,2.0,110.0,4.0
1400000000,5.0,3.0,300.0,6.0
380000000,2.0,3.0,153.0,3.0
320000000,,3.0,,3.0
6000000000,6.0,5.0,1400.0,5.0
470000000,2.0,4.0,147.0,
3000000000,3.0,4.0,360.0,6.0
300000000,,3.0,81.0,
510000000,2.0,3.0,90.0,5.0
1500000000,3.0,3.0,135.0,6.0
390000000,2.0,4.0,195.0,3.0
560000000,3.0,4.0,144.0,
800000000,2.0,3.0,157.0,2.0
8000000000,4.0,4.0,428.0,6.0
3400000000,6.0,5.0,420.0,6.0
300000000,4.0,6.0,160.0,3.0
8500000000,6.0,,638.0,
3360000000,3.0,3.0,280.0,
4500000000,4.0,3.0,160.0,3.0
450000000,4.0,8.0,153.0,4.0
380000000,4.0,3.0,120.0,3.0
7300000000,7.0,10.0,880.0,
1350000000,4.0,5.0,228.0,5.0
500000000,2.0,4.0,300.0,2.0
300000000,2.0,3.0,147.0,3.0
4500000000,4.0,5.0,419.0,5.0
