Mes;Precio
01/03/99;655,6
01/04/99;790,02
01/05/99;805,32
01/06/99;828,08
01/07/99;1058,5
01/08/99;1197,32
01/09/99;1360,59
01/10/99;1240,49
01/11/99;1354,86
01/12/99;1327,2
01/01/00;1356,74
01/02/00;1591,72
01/03/00;1738,98
01/04/00;1449,03
01/05/00;1825
01/06/00;2042,06
01/07/00;1856,52
01/08/00;1907,38
01/09/00;2127,42
01/10/00;2063,6
01/11/00;2016,65
01/12/00;1607,88
01/01/01;1858,12
01/02/01;1853,07
01/03/01;1788,26
01/04/01;2199,98
01/05/01;2173,39
01/06/01;1659,83
01/07/01;1573,64
01/08/01;1776,01
01/09/01;1772,03
01/10/01;1388,05
01/11/01;1194,37
01/12/01;1193,22
01/01/02;1238,09
01/02/02;1265,11
01/03/02;1592,29
01/04/02;1683,75
01/05/02;1622,48
01/06/02;1692,63
01/07/02;1916,56
01/08/02;2034,18
01/09/02;2140,46
01/10/02;2336,98
01/11/02;2093,14
01/12/02;2273,05
01/01/03;2557,67
01/02/03;2939,91
01/03/03;2825,85
01/04/03;2338,21
01/05/03;2172,52
01/06/03;2284,18
01/07/03;2495,75
01/08/03;2887,76
01/09/03;2564,59
01/10/03;2516,67
01/11/03;2508,89
01/12/03;2485,65
01/01/04;2743,89
01/02/04;2845,69
01/03/04;2913,84
01/04/04;2950,08
01/05/04;3654,52
01/06/04;3129,5
01/07/04;3251,53
01/08/04;3137,68
01/09/04;3218,27
01/10/04;3556,68
01/11/04;3204,38
01/12/04;2581,28
01/01/05;2932,22
01/02/05;2865
01/03/05;3386,92
01/04/05;3481,8
01/05/05;3206,3
01/06/05;3512,18
01/07/05;3697,96
01/08/05;4466,73
01/09/05;4894,21
01/10/05;3918,32
01/11/05;3352,63
01/12/05;3644,7
01/01/06;3947,96
01/02/06;3377,37
01/03/06;4000,66
01/04/06;5026,97
01/05/06;4907,04
01/06/06;5269,08
01/07/06;5647,86
01/08/06;4880,07
01/09/06;3796,79
01/10/06;3562,45
01/11/06;3638,8
01/12/06;3779,78
01/01/07;3201,01
01/02/07;3650,14
01/03/07;4264,59
01/04/07;4523,67
01/05/07;4473,4
01/06/07;4199,86
01/07/07;4159,1
01/08/07;4192,09
01/09/07;4439,72
01/10/07;4338,96
01/11/07;4963,64
01/12/07;4698,92
01/01/08;4621,21
01/02/08;4539,41
01/03/08;4623,17
01/04/08;4962,51
01/05/08;5513,55
01/06/08;5643,04
01/07/08;5613,17
01/08/08;5348,4
01/09/08;5801,36
01/10/08;4396,08
01/11/08;2987,25
01/12/08;2173,14
01/01/09;2580,72
01/02/09;3056,99
01/03/09;3202,43
01/04/09;3279,71
01/05/09;3774,14
01/06/09;3979,7
01/07/09;3586,86
01/08/09;3896,4
01/09/09;3523,89
01/10/09;3651,48
01/11/09;3916,18
01/12/09;3870,06
01/01/10;4034,48
01/02/10;3833,53
01/03/10;4087,73
01/04/10;4314,1
01/05/10;4006,07
01/06/10;3879,51
01/07/10;3741,39
01/08/10;3532,38
01/09/10;3554,66
01/10/10;3914,07
01/11/10;4172,13
01/12/10;4600,98
01/01/11;4562,6
01/02/11;4826,74
01/03/11;5356,95
01/04/11;5750,27
01/05/11;5445,94
01/06/11;5054,66
01/07/11;5323,63
01/08/11;5060,37
01/09/11;5090,82
01/10/11;5293,03
01/11/11;5038,36
01/12/11;5095,69
01/01/12;5219,98
01/02/12;5423,02
01/03/12;5594,01
01/04/12;5690,08
01/05/12;5146,86
01/06/12;4652,45
01/07/12;4902,41
01/08/12;5458,13
01/09/12;5892,56
01/10/12;5360,29
01/11/12;5127,33
01/12/12;4900,32
01/01/13;5048,68
01/02/13;5467,07
01/03/13;5281,19
01/04/13;4953,52
01/05/13;5065,12
01/06/13;5223,9
01/07/13;5563,5
01/08/13;5583,9
01/09/13;5366,89
01/10/13;5063,68
01/11/13;5132,97
01/12/13;5296,23
01/01/14;5242,75
01/02/14;5703,51
01/03/14;5564,28
01/04/14;5615,83
01/05/14;5487,24
01/06/14;5469,05
01/07/14;5208,34
01/08/14;5135,07
01/09/14;5370,64
01/10/14;4908,62
01/11/14;4595,23
01/12/14;3938,88
01/01/15;3271,89
01/02/15;3897,44
01/03/15;4252,34
01/04/15;4474,19
01/05/15;4720,37
01/06/15;5124,62
01/07/15;5090,54
01/08/15;4896
01/09/15;4481,44
01/10/15;4106,2
01/11/15;4099,69
01/12/15;4148,35
01/01/16;3679,89
01/02/16;3549,47
01/03/16;3790,57
01/04/16;4342,14
01/05/16;4678,41
01/06/16;4511,16
01/07/16;4011,01
01/08/16;4089,08
01/09/16;4200,95
01/10/16;4460,76
01/11/16;4528,52
01/12/16;4917,56
01/01/17;4768,45
01/02/17;4454,89
01/03/17;4396,51
01/04/17;4629,2
01/05/17;4504,62
01/06/17;4268,76
01/07/17;4749,47
01/08/17;5023,3
01/09/17;5447,18
01/10/17;5062,22
01/11/17;5519,19
01/12/17;5256,64
01/01/18;5450,52
01/02/18;5197,27
01/03/18;5229,95
01/04/18;5518,09
01/05/18;6083,99
01/06/18;5870,71
01/07/18;5981,94
01/08/18;6147,03
01/09/18;6360,72
01/10/18;6252,51
01/11/18;5196,26
01/12/18;4648,77
01/01/19;4511,7
01/02/19;4882,39
01/03/19;5663,11
01/04/19;6445,78
01/05/19;6331,56
01/06/19;5670,37
01/07/19;6052,5
01/08/19;5784,67
01/09/19;5878,95
01/10/19;5943,82
01/11/19;5852,48
01/12/19;5810,58
01/01/20;5516,5
01/02/20;5387,51
01/03/20;3448,18
01/04/20;2364,03
01/05/20;3384,29
01/06/20;4145,71
