Fecha	Empleado	Producto	Cantidad	Precio Unitario
2018-01-01	Luis	Producto B	86	42.834022318701884
2018-01-02	Laura	Producto B	17	67.6868975288882
2018-01-03	Sofía	Producto A	68	51.95634320148013
2018-01-04	Carlos	Producto C	48	27.09425228118048
2018-01-05	Luis	Producto A	52	73.15644464895314
2018-01-06	Elena	Producto A	25	60.08181736139398
2018-01-07	Pedro	Producto C	21	42.27594237582323
2018-01-08	Luis	Producto C	65	92.02052710707676
2018-01-09	Sofía	Producto B	63	11.884070604405995
2018-01-10	Carlos	Producto C	89	38.419583612454645
2018-01-11	Laura	Producto B	51	15.11932579998819
2018-01-12	Sofía	Producto B	36	78.98745845994645
2018-01-13	Sofía	Producto B	81	73.18967087024134
2018-01-14	Pedro	Producto C	88	39.82169968626853
2018-01-15	Ana	Producto A	66	70.80966119863658
2018-01-16	Carlos	Producto B	15	45.63435035763548
2018-01-17	María	Producto A	96	78.0628412280191
2018-01-18	Sofía	Producto A	39	50.876529646303545
2018-01-19	Ana	Producto C	70	47.1051755048499
2018-01-20	María	Producto A	1	94.12569239394709
2018-01-21	Carlos	Producto A	23	32.579118990163025
2018-01-22	Juan	Producto C	39	20.840260599690886
2018-01-23	Elena	Producto B	57	62.60888019335123
2018-01-24	Ana	Producto A	81	97.2389631055761
2018-01-25	Diego	Producto C	34	44.0055292354468
2018-01-26	Juan	Producto A	41	15.583308726590337
2018-01-27	Elena	Producto A	93	40.537474057861075
2018-01-28	Pedro	Producto B	73	55.53384888876026
2018-01-29	Luis	Producto A	13	24.573070596899235
2018-01-30	Laura	Producto C	70	69.22919962508428
2018-01-31	Diego	Producto A	6	99.79744501091805
2018-02-01	Pedro	Producto B	84	50.656552838329944
2018-02-02	Carlos	Producto B	52	41.92557010571914
2018-02-03	Pedro	Producto C	3	46.063375015102
2018-02-04	Luis	Producto B	81	20.363156055568105
2018-02-05	Carlos	Producto A	63	89.49462412836014
2018-02-06	Diego	Producto B	49	47.33430899692168
2018-02-07	Luis	Producto C	76	44.85469702823572
2018-02-08	María	Producto B	47	69.37212456374269
2018-02-09	Laura	Producto B	55	49.78300788380112
2018-02-10	Diego	Producto B	64	68.34101219270615
2018-02-11	María	Producto C	65	15.530166111770875
2018-02-12	Elena	Producto B	81	83.23510093500047
2018-02-13	Diego	Producto B	67	94.64535575914623
2018-02-14	Elena	Producto A	90	68.38888475434473
2018-02-15	Carlos	Producto C	15	95.91093359729297
2018-02-16	María	Producto B	32	23.628908293296696
2018-02-17	Laura	Producto C	96	52.96745705323183
2018-02-18	Luis	Producto B	68	64.16260605509025
2018-02-19	Sofía	Producto B	18	62.3562982679068
2018-02-20	Pedro	Producto B	83	46.131560118013894
2018-02-21	Juan	Producto A	43	40.427596842963524
2018-02-22	Laura	Producto A	35	21.414162029537692
2018-02-23	María	Producto A	78	45.256820550605035
2018-02-24	Sofía	Producto C	58	24.639473359493664
2018-02-25	Laura	Producto C	33	76.09291088429966
2018-02-26	María	Producto A	14	28.7947841945131
2018-02-27	Ana	Producto C	34	15.270877475608046
2018-02-28	Ana	Producto B	61	59.712952403551085
2018-03-01	Elena	Producto B	4	63.57067594474614
2018-03-02	Laura	Producto B	88	88.4721755152455
2018-03-03	Ana	Producto A	59	61.92834511759137
2018-03-04	María	Producto C	29	41.09327683511012
2018-03-05	Elena	Producto A	83	82.27106933736884
2018-03-06	María	Producto C	6	58.62510038686789
2018-03-07	Elena	Producto B	97	17.135225616807258
2018-03-08	Laura	Producto A	49	60.9265504281922
